position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,8,02,pooled_roc_auc,cross,0.6644965277777778,0.5859375,0.7495659722222222
answer,8,02,pooled_roc_auc,gap,0.03949652777777779,-0.08030598958333338,0.1449652777777778
answer,8,02,accuracy,within,0.6979166666666666,0.6041666666666666,0.7916666666666666
answer,8,02,accuracy,cross,0.5104166666666666,0.4791666666666667,0.5416666666666666
answer,8,02,accuracy,gap,0.1875,0.09375,0.28124999999999994
answer,8,combined,mean_within_fold_auc,within,0.71875,0.609375,0.8177083333333334
answer,8,combined,mean_within_fold_auc,cross,0.6770833333333334,0.59375,0.7552083333333334
answer,8,combined,mean_within_fold_auc,gap,0.04166666666666663,-0.078125,0.15625
answer,8,combined,pooled_roc_auc,within,0.6931423611111112,0.6011284722222222,0.7802734375
answer,8,combined,pooled_roc_auc,cross,0.6059027777777778,0.5523003472222222,0.6608072916666666
answer,8,combined,pooled_roc_auc,gap,0.08723958333333337,-0.013457573784722157,0.18012695312499993
answer,8,combined,accuracy,within,0.671875,0.5989583333333334,0.7447916666666666
answer,8,combined,accuracy,cross,0.5572916666666666,0.5104166666666666,0.6041666666666666
answer,8,combined,accuracy,gap,0.11458333333333337,0.02604166666666663,0.203125
answer,9,01,mean_within_fold_auc,within,0.71875,0.6041666666666666,0.8333333333333334
answer,9,01,mean_within_fold_auc,cross,0.65625,0.53125,0.78125
answer,9,01,mean_within_fold_auc,gap,0.0625,-0.0625,0.19791666666666663
answer,9,01,pooled_roc_auc,within,0.7026909722222222,0.6002604166666666,0.8046983506944443
answer,9,01,pooled_roc_auc,cross,0.6501736111111112,0.5616319444444444,0.7395833333333334
answer,9,01,pooled_roc_auc,gap,0.05251736111111105,-0.07205946180555559,0.17664930555555558
answer,9,01,accuracy,within,0.6770833333333334,0.6041666666666666,0.75
answer,9,01,accuracy,cross,0.6145833333333334,0.53125,0.6979166666666666
answer,9,01,accuracy,gap,0.0625,-0.05208333333333337,0.17708333333333326
answer,9,02,mean_within_fold_auc,within,0.6979166666666666,0.5625,0.8229166666666666
answer,9,02,mean_within_fold_auc,cross,0.6979166666666666,0.5833333333333334,0.8125
answer,9,02,mean_within_fold_auc,gap,0.0,-0.14583333333333337,0.14583333333333326
answer,9,02,pooled_roc_auc,within,0.6831597222222222,0.5668294270833334,0.7942708333333334
answer,9,02,pooled_roc_auc,cross,0.6449652777777778,0.5577256944444444,0.7365451388888888
answer,9,02,pooled_roc_auc,gap,0.03819444444444442,-0.07682291666666663,0.14539930555555558
answer,9,02,accuracy,within,0.6770833333333334,0.5833333333333334,0.7708333333333334
answer,9,02,accuracy,cross,0.6458333333333334,0.5625,0.7291666666666666
answer,9,02,accuracy,gap,0.03125,-0.0625,0.13541666666666663
answer,9,combined,mean_within_fold_auc,within,0.7083333333333334,0.6041666666666666,0.8020833333333334
answer,9,combined,mean_within_fold_auc,cross,0.6770833333333334,0.5885416666666666,0.7604166666666666
answer,9,combined,mean_within_fold_auc,gap,0.03125,-0.05729166666666663,0.109375
answer,9,combined,pooled_roc_auc,within,0.6935763888888888,0.6011257595486111,0.7815755208333334
answer,9,combined,pooled_roc_auc,cross,0.6456163194444444,0.5838758680555556,0.7154947916666666
answer,9,combined,pooled_roc_auc,gap,0.04796006944444442,-0.04937337239583343,0.12923177083333326
answer,9,combined,accuracy,within,0.6770833333333334,0.6145833333333334,0.7395833333333334
answer,9,combined,accuracy,cross,0.6302083333333334,0.5625,0.703125
answer,9,combined,accuracy,gap,0.046875,-0.03125,0.125
answer,10,01,mean_within_fold_auc,within,0.6770833333333334,0.5833333333333334,0.78125
answer,10,01,mean_within_fold_auc,cross,0.625,0.4791666666666667,0.7604166666666666
answer,10,01,mean_within_fold_auc,gap,0.05208333333333337,-0.125,0.22916666666666663
answer,10,01,pooled_roc_auc,within,0.6592881944444444,0.563791232638889,0.7556423611111112
