condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
center_joint,03,pair_0010,02,01,-3.747584581375122,-3.407413959503174,-0.052640438079833984,-0.03747367858886719,-0.34017062187194824,-0.015166759490966797,-0.045057058334350586
center_joint,03,pair_0011,02,02,-3.5933680534362793,-3.3872692584991455,-0.06845521926879883,-0.05581855773925781,-0.2060987949371338,-0.012636661529541016,-0.06213688850402832
center_joint,04,pair_0012,01,01,-4.791985988616943,-5.084330081939697,-0.18926286697387695,-0.21757030487060547,0.2923440933227539,0.028307437896728516,-0.2034165859222412
center_joint,04,pair_0013,01,02,-4.810388088226318,-4.821258068084717,-0.2407984733581543,-0.21693706512451172,0.010869979858398438,-0.023861408233642578,-0.228867769241333
center_joint,04,pair_0014,02,01,-3.6892435550689697,-3.6543235778808594,-0.08568453788757324,-0.08394598960876465,-0.03491997718811035,-0.0017385482788085938,-0.08481526374816895
center_joint,04,pair_0015,02,02,-3.4362552165985107,-3.787484884262085,-0.052587270736694336,0.021071434020996094,0.3512296676635742,-0.07365870475769043,-0.01575791835784912
center_joint,05,pair_0016,01,01,-4.799779891967773,-4.379817008972168,-0.24240684509277344,-0.18313837051391602,-0.41996288299560547,-0.05926847457885742,-0.21277260780334473
center_joint,05,pair_0017,01,02,-4.621429920196533,-4.819448947906494,-0.23826837539672852,-0.2604808807373047,0.19801902770996094,0.022212505340576172,-0.2493746280670166
center_joint,05,pair_0018,02,01,-3.3673322200775146,-3.556227445602417,-0.08062171936035156,-0.07509708404541016,0.18889522552490234,-0.005524635314941406,-0.07785940170288086
center_joint,05,pair_0019,02,02,-3.4884033203125,-3.3733787536621094,-0.012853860855102539,-0.08653402328491211,-0.11502456665039062,0.07368016242980957,-0.049693942070007324
center_joint,06,pair_0020,01,01,-4.46089506149292,-4.736791610717773,-0.24623823165893555,-0.21266937255859375,0.2758965492248535,-0.0335688591003418,-0.22945380210876465
center_joint,06,pair_0021,01,02,-4.447802543640137,-4.83876895904541,-0.19181585311889648,-0.22448348999023438,0.39096641540527344,0.03266763687133789,-0.20814967155456543
